18,,"2018-08-08 17:00:07",1,1,1,2,0,1,13,2,0,2.7,4.0,22,1,,,1,4,,,,3,1,3,4,2,3,4,4,4,2,4,1,4,5,3,3,4,3,3,2,4,2,2,3,3,3,3,2,3,3,4,2,4,4,4,4,4,3,3,3,2,4,4,3,5,3,3,3,2,3,31,40,32,28,34,2
19,,"2018-08-08 17:02:42",1,2,1,5,0,0,20,1,0,,3.83,,1,,,2,,,,,3,1,5,2,4,2,4,1,4,2,4,1,4,2,5,3,4,2,3,1,4,1,5,3,4,2,4,1,2,1,3,2,5,2,4,4,4,1,1,4,4,5,5,2,4,4,4,5,1,4,33,44,48,40,43,2
20,,"2018-08-08 19:43:56",1,1,2,2,0,0,6,5,0,3.30,4.0,23,5,6,,1,2,,,,5,2,4,2,5,1,1,2,4,1,4,4,4,2,5,2,2,2,4,1,4,,2,2,5,1,2,2,1,1,5,4,4,2,5,2,2,2,2,4,5,2,4,4,5,2,4,4,2,5,45,,38,39,49,2
21,,"[not completed]",1,3,2,1,0,0,9,3,,3.67,3.91,,1,,,2,3,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,,"[not completed]",1,3,2,5,0,0,1,1,0,3.77,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,,"2018-08-08 17:40:45",1,2,1,1,0,0,1,1,0,3.8,,20,1,,,2,2,,,,4,1,4,3,1,2,5,4,4,2,4,1,4,5,3,2,5,3,4,3,4,2,2,4,3,2,5,5,3,3,4,1,4,3,4,1,4,2,3,1,5,4,3,5,3,1,4,3,2,3,43,46,30,28,28,2
24,,"2018-08-08 18:14:33",1,1,1,1,0,1,13,1,0,3.6,,19,1,,,1,2,,,,4,5,2,2,2,2,4,2,3,4,4,2,4,4,4,2,5,4,2,4,4,2,2,4,5,2,5,3,4,2,4,2,5,4,2,2,4,2,4,2,5,4,4,4,4,2,4,3,3,5,41,39,33,24,32,2
25,,"2018-08-08 18:17:57",1,4,2,4,0,0,5,2,1,3.71,3.45,19,5,4,,1,2,,,,5,1,4,2,4,2,4,4,5,1,5,1,3,2,2,2,5,2,2,3,4,2,2,2,4,3,5,3,2,2,4,2,2,2,3,2,5,3,2,2,3,5,3,4,4,2,5,5,2,4,40,47,31,37,35,2
26,,"2018-08-08 18:30:44",1,3,2,1,0,0,15,1,0,3.6,3.0,18,3,,,1,2,,,,1,3,4,5,1,5,3,1,5,5,3,1,5,4,2,5,2,1,3,4,2,3,4,2,4,5,3,1,3,5,1,3,5,1,2,5,4,1,1,1,3,3,5,5,2,5,4,4,2,2,15,33,47,33,18,2
27,,"2018-08-08 18:47:38",1,1,1,1,0,0,13,2,0,3.8,,19,5,8,,1,2,,,,3,4,4,5,1,4,3,1,3,3,3,1,5,4,3,4,4,2,4,4,2,4,4,2,3,5,5,1,3,3,2,4,4,4,4,4,4,3,2,2,2,4,4,2,5,4,4,4,2,3,21,35,42,31,29,2
28,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,,"2018-08-08 19:15:00",1,3,2,5,0,0,,,0,,,,1,,,2,2,,,,4,5,4,5,3,5,4,1,4,2,4,1,5,4,4,3,5,3,3,3,2,1,4,2,3,2,5,1,4,1,2,1,3,4,5,4,4,3,4,1,1,5,4,4,4,5,4,2,2,2,24,43,38,26,34,2
30,,"2018-08-08 19:23:24",1,2,1,1,0,0,6,1,1,3.9,,19,5,1,,2,2,,,,4,2,4,3,3,2,4,2,4,3,3,2,4,4,3,4,4,3,3,2,4,2,4,3,3,2,4,2,2,4,4,2,4,3,3,4,5,3,3,2,2,4,4,3,4,4,4,4,2,3,31,41,38,32,30,2
31,,"2018-08-08 19:30:57",1,3,1,1,0,1,4,3,1,3.74,,25,1,,,1,2,,,,3,3,4,2,5,5,3,4,4,1,3,4,4,3,5,3,3,2,4,3,1,3,4,1,4,4,2,4,2,1,2,4,4,2,5,3,3,1,1,5,3,3,4,3,3,5,2,3,1,4,22,26,36,41,44,2
32,,"2018-08-08 19:38:48",1,2,1,1,1,1,14,4,0,3.5,3.0,21,6,,"Military Dental",1,2,,,,3,2,5,1,4,2,4,1,3,1,5,1,5,2,5,2,4,1,4,1,4,3,3,1,4,2,3,1,1,1,4,3,5,1,4,3,4,1,1,4,5,4,5,1,5,2,5,5,2,4,40,39,48,45,45,2
33,,"2018-08-08 19:48:46",1,1,1,1,0,0,16,7,0,3.75,0.0,23,5,4,,2,2,,,,4,1,5,5,4,1,5,2,2,4,5,1,5,5,3,2,5,5,2,4,5,1,4,4,4,1,4,2,4,4,5,1,5,4,4,2,5,3,3,2,4,5,5,4,4,3,5,5,2,3,44,49,41,21,30,2
34,,"2018-08-08 20:01:58",1,4,3,1,0,0,8,1,1,3.3,,20,5,6,,1,2,,,,2,2,5,4,3,3,3,2,2,3,4,1,5,5,5,3,3,1,2,3,2,2,4,3,5,2,4,3,5,1,1,3,5,3,4,5,4,1,2,2,2,4,5,5,5,4,4,4,3,5,24,38,45,22,40,2
35,,"2018-08-08 20:04:54",1,1,1,1,0,0,11,3,0,3.8,,20,1,,,1,2,,,,2,1,5,2,3,4,5,1,5,2,4,1,5,3,2,3,5,1,4,2,3,2,3,2,5,2,4,1,2,4,1,1,5,2,4,4,4,2,1,2,2,4,5,2,4,4,5,5,1,4,25,46,47,42,34,2
